type,year,quarter,category,count,amount,brand,percentage
user,,,,649776,,Xiaomi,0.2383711801606808
user,,,,534907,,Vivo,0.1962313364393411
user,,,,473054,,Samsung,0.1735404820426281
user,,,,290835,,Oppo,0.10669320224513
user,,,,243335,,Micromax,0.0892677647749367
user,,,,169406,,Realme,0.0621468138963278
user,,,,44369,,Apple,0.0162768260024212
user,,,,41107,,OnePlus,0.0150801570123628
user,,,,32554,,Motorola,0.0119424777137826
user,,,,27622,,Lenovo,0.0101331670274037
user,,,,218935,,Others,0.0803165926849847
user,,,,711639,,Xiaomi,0.2359164816556477
user,,,,613952,,Vivo,0.2035321219683691
user,,,,521671,,Samsung,0.1729399132169308
user,,,,328835,,Oppo,0.1090125699199101
user,,,,253971,,Micromax,0.0841942962127799
user,,,,196352,,Realme,0.0650929375793762
user,,,,47890,,Apple,0.0158760836695135
user,,,,43526,,OnePlus,0.014429367671732
user,,,,34414,,Motorola,0.0114086352767308
user,,,,29426,,Lenovo,0.0097550561298623
user,,,,234811,,Others,0.077842536699147
user,,,,796390,,Xiaomi,0.2341181858964069
user,,,,714180,,Vivo,0.209950559403679
user,,,,579423,,Samsung,0.1703354658228428
user,,,,377290,,Oppo,0.110913560387317
user,,,,282770,,Micromax,0.0831271103679441
user,,,,227611,,Realme,0.0669117824308028
user,,,,50835,,Apple,0.0149441831012994
user,,,,45570,,OnePlus,0.0133964084572875
user,,,,36651,,Motorola,0.0107744517526453
user,,,,30902,,Lenovo,0.0090843935516151
user,,,,260036,,Others,0.0764438988281596
user,,,,879885,,Xiaomi,0.2315861036493791
user,,,,837832,,Vivo,0.2205177362868632
user,,,,638573,,Samsung,0.1680726833230422
user,,,,424680,,Oppo,0.1117759553780532
user,,,,300759,,Micromax,0.0791598958358008
user,,,,264356,,Realme,0.0695786108597547
user,,,,54717,,Apple,0.0144015375115873
user,,,,48306,,OnePlus,0.0127141596036833
user,,,,38887,,Motorola,0.010235074825248
user,,,,32625,,Lenovo,0.0085869137802792
user,,,,278766,,Others,0.0733713289463087
user,,,,962085,,Xiaomi,0.2295816280290106
user,,,,951506,,Vivo,0.2270571691268149
user,,,,697989,,Samsung,0.1665605959622498
user,,,,473974,,Oppo,0.1131040631164837
user,,,,315002,,Micromax,0.0751686929869963
user,,,,302527,,Realme,0.0721917930148921
user,,,,59187,,Apple,0.0141237497914976
user,,,,51351,,OnePlus,0.0122538509392805
user,,,,41093,,Motorola,0.009805992028351
user,,,,34335,,Lenovo,0.0081933355144047
user,,,,301552,,Others,0.0719591294900182
user,,,,1059097,,Vivo,0.2345963086916063
user,,,,1035868,,Xiaomi,0.2294509465060866
user,,,,741544,,Samsung,0.164256423285505
user,,,,511992,,Oppo,0.1134092847771572
user,,,,338436,,Realme,0.0749655945851536
user,,,,315253,,Micromax,0.0698304216742706
user,,,,63748,,Apple,0.014120562598584
user,,,,54838,,OnePlus,0.0121469444026659
user,,,,42166,,Motorola,0.0093400207462491
user,,,,35061,,Huawei,0.007766220826833
user,,,,316548,,Others,0.0701172719058883
user,,,,1169224,,Vivo,0.2417222876316271
user,,,,1101581,,Xiaomi,0.2277379521216938
user,,,,778803,,Samsung,0.161007679259384
user,,,,550796,,Oppo,0.1138701131163486
user,,,,397105,,Realme,0.0820964409129108
user,,,,302906,,Micromax,0.062621987965818
user,,,,69177,,Apple,0.0143014706262384
user,,,,61100,,OnePlus,0.0126316529375828
user,,,,41735,,Motorola,0.0086281838846157
user,,,,34225,,Huawei,0.007075586281322
user,,,,330403,,Others,0.0683066452624582
user,,,,1306833,,Vivo,0.2510203446582882
user,,,,1175329,,Xiaomi,0.2257606677110857
user,,,,796963,,Samsung,0.1530830082649454
user,,,,605302,,Oppo,0.1162681969787656
user,,,,464310,,Realme,0.0891860369521506
user,,,,283826,,Micromax,0.0545181368568006
user,,,,75098,,Apple,0.0144250457733682
user,,,,74197,,OnePlus,0.0142519790306879
user,,,,41449,,Motorola,0.0079616464121593
user,,,,38832,,Infinix,0.0074589653182699
user,,,,343945,,Others,0.0660659720434783
user,,,,1423389,,Vivo,0.2557530966326181
user,,,,1243356,,Xiaomi,0.2234049491858835
user,,,,821562,,Samsung,0.1476174296525313
user,,,,651316,,Oppo,0.1170278004722323
user,,,,551719,,Realme,0.099132312193681
user,,,,262792,,Micromax,0.0472182009066242
user,,,,87470,,OnePlus,0.0157165211775945
user,,,,87360,,Apple,0.0156967564887922
user,,,,47609,,Infinix,0.0085543369926157
user,,,,44668,,Tecno,0.0080259010856384
user,,,,344240,,Others,0.0618526952117885
user,,,,1531319,,Vivo,0.2588016044046936
user,,,,1301387,,Xiaomi,0.2199417910647036
user,,,,843988,,Samsung,0.1426387633787006
user,,,,702141,,Oppo,0.1186658151033951
user,,,,629948,,Realme,0.1064647882587024
user,,,,255953,,Micromax,0.0432575100630205
user,,,,99485,,OnePlus,0.0168135297832789
user,,,,96555,,Apple,0.0163183431494647
